"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $592.76/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode"
"0x74c9a86a2da038d5809a020b9311937ce87899bd59b19b5d9dc5210cf07fab67","6989709","1619707263","2021-04-29 14:41:03","0xb522310315e0fdc50c737dffb13f02a284c2d4ea","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.06","0","35.5656","0.000105","0.0622398","600.65","","",""
"0xef1adb453d3f6b7b7c3abef59878c892759a89fc417bc019ef3399818e644ceb","6989732","1619707332","2021-04-29 14:42:12","0x121409b45f62c53c756e0e7b78b272d7dead7600","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.14","0","82.9864","0.000105","0.0622398","600.65","","",""
"0x383cd18cd01e15f6e9cac058ecaca91f713e75cfa04a0aebd2cadbf001165e3b","6989806","1619707554","2021-04-29 14:45:54","0xdbdd3c0fa66b11c7eee58bb47ea56f95fd182643","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.4","0","237.104","0.000105","0.0622398","600.65","","",""
"0x68f2b9ad9d57450b9e8288149b98406ca605690f7963d9b3c341098af6b024cd","6989832","1619707632","2021-04-29 14:47:12","0x121409b45f62c53c756e0e7b78b272d7dead7600","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.01","0","5.9276","0.000105","0.0622398","600.65","","",""
"0xe8ee12849f96a910a93d5962c768c77b2a9859376a4758bb87389280eb2c6d09","6989843","1619707665","2021-04-29 14:47:45","0x78d1cf799bf3dde2ec657b943dee4a6b5e72730c","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.05","0","29.638","0.000105","0.0622398","600.65","","",""
"0x5e054b49d7d7b8501e23631a0f5e5a4ad0f1fc33d17a3687da46f34b99c7545a","6989874","1619707758","2021-04-29 14:49:18","0x7791aeeea246c09275247acb2de43aba62a1e207","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.02","0","11.8552","0.000105","0.0622398","600.65","","",""
"0x84dce1e6522b533617d314b551e9259cb6c76ab3113d66ecfd48a2613898f2ce","6989922","1619707902","2021-04-29 14:51:42","0xc4443c421d756430c401f2a0b8be4d4f9a63d737","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.07","0","41.4932","0.000105","0.0622398","600.65","","",""
"0x635b026ad91003bc11e3c8c4dfcd05bb3605dddc2468791170e89bba40be7535","6989927","1619707917","2021-04-29 14:51:57","0xc4b824b63235c719ddf54276f3b313f653178387","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.05","0","29.638","0.000105","0.0622398","600.65","","",""
"0x04bf402892a10e1eebfe760a91699432065fdc56c171114bd3e18289fe77cbfc","6989987","1619708097","2021-04-29 14:54:57","0x7dc426e13d5be44008b6108d438dac5e7f170481","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","1","0","592.76","0.000105","0.0622398","600.65","","",""
"0xe797eb23fe45fd0d2e07e2133492b014bc32cd8d5dda2570c15a631bb9d5adbf","6989988","1619708100","2021-04-29 14:55:00","0xc72d94f7a55223390bb128e0faa77e76972d0ead","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.07","0","41.4932","0.000105","0.0622398","600.65","","",""
